,short_desc,interval,long_desc,category_dict,analysis_group_1
COUNTY,FIPS county code,contin,"COUNTY gives the FIPS state and county codes for the respondent's county of residence. To preserve respondent confidentiality, not all counties are identified; however, about 45 percent of households in recent years are located in a county that is identified.",{},0
STATECENSUS,State (Census code),discrete,STATECENSUS identifies the household's state of residence using Census state codes.,"{0: 'Unknown', 11: 'Maine', 12: 'New Hampshire', 13: 'Vermont', 14: 'Massachusetts', 15: 'Rhode Island', 16: 'Connecticut', 19: 'Maine, New Hampshire, Vermont, Rhode Island', 21: 'New York', 22: 'New Jersey', 23: 'Pennsylvania', 31: 'Ohio', 32: 'Indiana', 33: 'Illinois', 34: 'Michigan', 35: 'Wisconsin', 39: 'Michigan, Wisconsin', 41: 'Minnesota', 42: 'Iowa', 43: 'Missouri', 44: 'North Dakota', 45: 'South Dakota', 46: 'Nebraska', 47: 'Kansas', 49: 'Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, Kansas', 50: 'Delaware, Maryland, Virginia, West Virginia', 51: 'Delaware', 52: 'Maryland', 53: 'District of Columbia', 54: 'Virginia', 55: 'West Virginia', 56: 'North Carolina', 57: 'South Carolina', 58: 'Georgia', 59: 'Florida', 60: 'South Carolina, Georgia', 61: 'Kentucky', 62: 'Tennessee', 63: 'Alabama', 64: 'Mississippi', 67: 'Kentucky, Tennessee', 69: 'Alabama, Mississippi', 71: 'Arkansas', 72: 'Louisiana', 73: 'Oklahoma', 74: 'Texas', 79: 'Arkansas, Louisiana, Oklahoma', 81: 'Montana', 82: 'Idaho', 83: 'Wyoming', 84: 'Colorado', 85: 'New Mexico', 86: 'Arizona', 87: 'Utah', 88: 'Nevada', 89: 'Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada', 91: 'Washington', 92: 'Oregon', 93: 'California', 94: 'Alaska', 95: 'Hawaii', 99: 'Washington, Oregon, Alaska, Hawaii'}",0
CBSASZ,Core-based statistical area size,discrete,"CBSASZ identifies the population size of the core based statistical area (CBSA) in which the household is located. CBSA's are classified as either metropolitan or micropolitan statistical areas, but micropolitan areas are too small to be identified in the CPS public use microdata, so CBSASZ provides sizes of metropolitan areas only.

Users should note that official definitions of metropolitan areas have changed over time. Please see the comparability tab for more details. 

The Census Bureau publishes records of re-categorized or newly introduced metropolitan areas on its Historical Statistical Area Delineations page.","{0: 'Not identified or nonmetropolitan', 1: '100,000 - 249,999', 2: '250,000 - 499,999', 3: '500,000 - 999,999', 4: '1,000,000 - 2,499,999', 5: '2,500,000 - 4,999,999', 6: '5,000,000 or more'}",0
METFIPS,Metropolitan area FIPS code,contin,"METFIPS gives the original (unrecoded) codes for the respondent's metropolitan area of residence. For the same variable recoded to FIPS codes from the 1990 census, see (METAREA) (definitions of metropolitan areas can change over time, however). METFIPS information was added to the ASEC CPS data by the Census Bureau, not collected from respondents.

Not all metropolitan areas are identified: see under ""Codes"" for more information. Note also that some component counties are not included in the CPS sample of households in certain metropolitan areas. See the ""Specific Metropolitan Identifiers"" Appendix of the appropriate month's technical documentation for more information on whether a specific metropolitan area sample has excluded components. For more information on the definitions and components of metropolitan areas over time, see the Census Bureau website; for the current metropolitan area definitions, see here.

Note that the Census Bureau warns: ""One set of estimates that can be produced from CPS microdata files should be treated with caution.  These are estimates for individual metropolitan areas.  Although estimates for the larger areas such as New York, Los Angeles, and so forth, should be fairly accurate and valid for a multitude of uses, estimates for the smaller metropolitan areas (those with populations under 500,000) should be used with caution because of the relatively large sampling variability associated with these estimates.""",{},0
INDIVIDCC,Individual principal city,contin,"A ""principal city"" is the largest city in a metropolitan area. Other cities in a metropolitan area can also be designated principal cities if they meet certain requirements. INDIVIDCC indicates which principal city is the household's city of residence. Not all principal cities are identified, and many households do not live in a principal city or a metropolitan area, and so INDIVIDCC is not identified. INDIVIDCC must be used along with METFIPS and (sometimes) COUNTY or STATEFIP to uniquely identify cities (more information is under the ""Codes"" tab). Note that for many cities, sample sizes will be too small to provide reliable city-level statistics.",{},0
OWNERSHP,Ownership of dwelling,discrete,"OWNERSHP indicates whether the household rented or owned its housing unit. Households that acquired their unit with a mortgage or other lending arrangement were understood to ""own"" their unit even if they had not yet completed repayment. 

Two types of renters were identified: those who paid cash rent and those who paid no cash rent.  The latter category included occupants who paid only for their utilities.","{0: 'NIU', 10: 'Owned or being bought', 21: 'No cash rent', 22: 'With cash rent'}",1
HHINCOME,Total household income,contin,HHINCOME reports the total money income during the previous calendar year of all adult household members.  The amount should equal the sum of all household members' individual incomes as recorded in the IPUMS-CPS variable INCTOT.  The persons included were those present in the household at the time of the survey.  People who lived in the household during the previous year but were not still living there at the time of the survey are not included; household members who lived elsewhere during the previous year but had joined the household at the time of the survey are included.,{},1
PUBHOUS,Living in public housing,discrete,"PUBHOUS indicates whether the house, apartment, or mobile home is part of a government housing project for people with low incomes, commonly known as a ""public housing project.""

Participation in public housing is determined by two factors: program eligibility and the availability of housing. Income standards for initial and continuing occupancy vary across local housing authorities, although Federal guidelines set broad limits. Rental charges define net benefits and cannot exceed 30 percent of the family's or the individual's net monthly income. A public housing unit can be occupied by a family of two or more related persons or an individual who is handicapped, elderly, or displaced by urban renewal or natural disaster. 

An alternative form of housing assistance is rent subsidy, in which the rent for a housing unit is reduced because the Federal, state, or local government is paying part of the cost.  See (RENTSUB).
 
Households coded as ""Yes"" in PUBHOUS or RENTSUB were receiving housing assistance at the time of the ASEC survey.  The reference period for some other non-cash benefits is the preceding calendar year (for Food Stamps) or the previous six months (for heat subsidy). 

For some variables relating to means-tested government assistance, including PUBHOUS, information was collected only from households whose estimated income fell below a given threshold.  During the first month that a household entered the survey, and one year later, the CPS interviewer asked the respondent to estimate the family's total income in the past twelve months, by choosing one of fourteen broad categories.  Only households in which the household members' combined income fell below a given level (e.g., under 30,000 dollars in the 1980s) were questioned about means-tested program benefits.  Households with estimated incomes above the threshold were presumed to not qualify for or receive such benefits, and were not asked these questions, to limit the length of interviews.  Households that were not questioned were coded as ""no"" for several variables relating to the receipt of means-tested benefits, including PUBHOUS.","{0: 'NIU', 1: 'No', 2: 'Yes'}",1
RENTSUB,Paying lower rent due to government subsidy,discrete,"RENTSUB indicates whether the rent on the house, apartment or mobile home is reduced because a Federal, state or local government is paying part of the cost. With rent subsidies, the difference between the ""fair market"" rent and the rent charged to the tenant in private sector housing is paid to the owner by a government agency, using federal, state, or local funds.  See also (PUBHOUS) for information on public housing, an alternative form of housing assistance to low-income families and individuals. 

For some variables relating to means-tested government assistance, including RENTSUB, information was collected only from households whose estimated income fell below a given threshold.  During the first month that a household entered the survey, and one year later, the CPS interviewer asked the respondent to estimate the family's total income in the past twelve months, by choosing one of fourteen broad categories.  Only households in which the household members' combined income fell below a given level (e.g., under 30,000 dollars in the 1980s) were questioned about means-tested program benefits.  Households with estimated incomes above the threshold were presumed to not qualify for or receive such benefits, and were not asked these questions, to limit the length of interviews.  Households that were not questioned were coded as ""no"" for several variables relating to the receipt of means-tested benefits, including RENTSUB.","{0: 'NIU', 1: 'No', 2: 'Yes'}",0
HEATSUB,Received energy subsidy,discrete,"HEATSUB indicates whether the household had been enrolled in or had received benefits from the Federal home heating and cooling assistance program at any time since the beginning of October of the previous year. 

The Low-Income Home Energy Assistance Program provides financial assistance to qualified households to help them pay heating costs. The program is funded by the Federal government and administered by the States under broad guidelines. In some states a household may automatically be eligible for this program if the members receive: (1) Aid to Families with Dependent Children (AFDC); (2) Food Stamps; (3) Supplemental Security Income (SSI); or (4) certain Veterans' benefits. 

(HEATVAL) gives the total value of energy assistance received in the past six months.  (HEATPAY) specifies the form of payment for heat subsidy recipients.  (NOHEAT) identifies households that reported being without heat for one or more days in the past six months, due to inability to pay the utility or fuel bill.  (FUELHEAT) specifies the type of heating fuel used, for households receiving energy assistance.

For some variables relating to means-tested government assistance, including HEATSUB, information was collected only from households whose estimated income fell below a given threshold.  During the first month that a household entered the survey, and one year later, the CPS interviewer asked the respondent to estimate the family's total income in the past twelve months, by choosing one of fourteen broad categories.  Only households in which the members' combined income fell below a given level (e.g., under 30,000 dollars in the 1980s) were questioned about means-tested program benefits.  Households with estimated incomes above the threshold were presumed to not qualify for or receive such benefits, and were not asked these questions, to limit the length of interviews.  Households that were not questioned were coded as ""no"" for several variables relating to the receipt of means-tested benefits, including HEATSUB.

In the 1982-1987 samples, there are some interview households which were incorrectly been coded as NIU in the original data for this variable.","{0: 'NIU', 1: 'No', 2: 'Yes'}",0
HEATVAL,Value of energy subsidy,contin,"HEATVAL specifies the total value of energy assistance the household received since October 1 of the previous year.  To identify households receiving energy assistance, see (HEATSUB).  For information about the form of payment for energy assistance, see (HEATPAY).",{},1
FOODSTMP,Food stamp recipiency,discrete,"FOODSTMP indicates whether one or more members of the household received benefits from the Supplement Nutrition Assistance Program (SNAP) during the prior year. This program is formerly known as the Food Stamps program.

Once such a household was identified, three follow-up questions were asked.  The first question determined the number of current household members covered by Food Stamps during the previous calendar year (STAMPNO).  The second question determined the number of months that Food Stamps were received during the previous year (STAMPMO).  Finally, a last question determined the total face value of Food Stamps received during that period (STAMPVAL).

The Food Stamp Act of 1977 was enacted to increase the food purchasing power of eligible households through the use of coupons to purchase food. The Food and Nutrition Service of the U.S. Department of Agriculture (USDA) administers the Food Stamp Program through State and local welfare offices. The Food Stamp Program is the major national income support program which provides benefits to all low-income and low-resource households, regardless of the person's characteristics (e.g., sex, age, disability, etc.). The Food Stamps program was renamed SNAP as part of the Farm Bill of 2008.

For some variables relating to means-tested government assistance, including FOODSTMP, information was collected only from households whose estimated income fell below a given threshold.  During the first month that a household entered the survey, and one year later, the CPS interviewer asked the respondent to estimate the family's total income in the past twelve months, by choosing one of fourteen broad categories.  Only households in which the household members' combined income fell below a given level (e.g., under 30,000 dollars in the 1980s) were questioned about means-tested program benefits.  Households with estimated incomes above the threshold were presumed to neither qualify for nor receive such benefits, and were not asked these questions, to limit the length of interviews.  Households that were not questioned were coded as ""no"" for several variables relating to the receipt of means-tested benefits, including FOODSTMP.","{0: 'NIU', 1: 'No', 2: 'Yes'}",0
STAMPNO,Number of persons covered by food stamps,contin,STAMPNO specifies the number of current household members covered by Food Stamps during the previous calendar year. See also (FOODSTMP).,{},0
STAMPMO,Number of months received food stamps,discrete,"STAMPMO specifies the number of months the household received Food Stamps during the previous calendar year. For information about the Food Stamp program, see (FOODSTMP).","{0: 'NIU', 1: 'One', 2: 'Two', 3: 'Three', 4: 'Four', 5: 'Five', 6: 'Six', 7: 'Seven', 8: 'Eight', 9: 'Nine', 10: 'Ten', 11: 'Eleven', 12: 'Twelve'}",0
ATELUNCH,Number of children who ate complete school lunch,discrete,"ATELUNCH identifies the number of children in the household who usually ate a complete hot lunch at school.  In IPUMS-CPS, households without children in this age group are coded as ""99"" (N.I.U., Not in Universe). A code of ""00""indicates that the children present did not usually eat a complete hot lunch; codes of ""01"" to ""09"" relate to the number of children who ate usually ate a hot school lunch, with ""09"" meaning 9 or more children.  

ATELUNCH defines the universe for questions related to participation in the federal school lunch program (LUNCHSUB) and (FRELUNCH).","{0: 'Zero', 1: 'One', 2: 'Two', 3: 'Three', 4: 'Four', 5: 'Five', 6: 'Six', 7: 'Seven', 8: 'Eight', 9: 'Nine or more', 99: 'NIU'}",0
LUNCHSUB,Government school lunch food subsidy,discrete,"LUNCHSUB identifies households where some or all of the children received free or reduced price school lunches. 

Funded by a combination of Federal funds and matching State funds, the National School Lunch Program helps States provide a school lunch for all children at moderate cost. The National School Lunch Act of 1946 was amended in 1970 to provide free and reduced-price school lunches for children of needy families. The program is administered by the Food and Nutrition Service of the U.S. Department of Agriculture (USDA) through State educational agencies, or through regional USDA nutrition services for nonprofit private schools. 

All students eating lunches prepared at participating schools pay less than the total cost of the lunches. Some students pay the ""full established"" price for lunch (which itself is subsidized); others pay a ""reduced"" price for lunch; and still others receive a ""free"" lunch. Students receiving free lunches live in households with incomes below 125 percent of the poverty level; students receiving reduced price lunches (10 to 20 cents per meal) live in households with incomes between 125 percent and 195 percent of the official poverty level. The data in the ASEC CPS do not distinguish between children receiving free versus reduced-price school lunches. 

To collect information on the school lunch program, interviewers first asked whether any of the children (ages 5-18) in a household ""usually"" ate a hot lunch and, if so, the number of children doing so (ATELUNCH). If some children in the household usually ate hot lunch at school, the interviewer asked about whether any of the children received free or reduced price hot lunches, and, if ""Yes,"" how many did so. See (FRELUNCH).

For some variables relating to means-tested government assistance, including LUNCHSUB, information was collected only from households whose estimated income fell below a given threshold.  During the first month that a household entered the survey, and one year later, the CPS interviewer asked the respondent to estimate the family's total income in the past twelve months, by choosing one of fourteen broad categories.  Only households in which the household members' combined income fell below a given level (e.g., under 30,000 dollars in the 1980s) were questioned about means-tested program benefits.  Households with estimated incomes above the threshold were presumed to not qualify for or receive such benefits, and were not asked these questions, to limit the length of interviews.  Households which were not questioned were coded as ""no"" for several variables relating to the receipt of means-tested benefits, including LUNCHSUB.","{0: 'NIU', 1: 'Yes, children receive free or reduced price lunch', 2: 'No, children did not receive free or reduced price lunch'}",0
FRELUNCH,Number of children with government school lunch subsidy,discrete,"While (LUNCHSUB) indicates whether any children 5-18 in the household ""usually"" received a free or reduced price lunch at school, FRELUNCH specifies the number of children receiving this means-tested benefit.  For information on the National School Lunch Program, see (LUNCHSUB).

Households with no children ages 5-18 are coded as ""99"" (Not in Universe) in FRELUNCH.  Those with children who didn't eat hot lunch are coded as ""98.""  A ""00"" code in FRELUNCH indicates that none of the children in the household who ate a school lunch paid a reduced fee or no fee; codes of ""01"" to ""09"" relate to the number of children who ate a hot lunch at a reduced fee or no fee, with ""09"" meaning 9 or more children.","{0: 'Zero', 1: 'One', 2: 'Two', 3: 'Three', 4: 'Four', 5: 'Five', 6: 'Six', 7: 'Seven', 8: 'Eight', 9: 'Nine or more', 98: ""NIU -- Children didn't eat hot lunch"", 99: 'NIU -- No children in hh'}",0
STAMPVAL,Total value of food stamps,contin,"STAMPVAL gives the total value of Food Stamps received by the household during the previous calendar year. For discussion of the Food Stamp program and related variables, see (FOODSTMP).",{},1
FAMINC,Family income of householder,discrete,"FAMINC reports annual family income, in categories, of all persons related to the head of household/householder. For individuals who are not part of the householder's family, FAMINC reports the value for the householder's family. 

This measure includes the income of all members of the household who are 15 years of age or older.  Income includes money from jobs; net income from business, farm or rent; pensions; dividends; interest; Social Security payments; and any other monetary income received by family members.

Family income is collected as part of the basic monthly survey. At the end of the monthly labor force survey, respondents are asked to choose the category that represents the total combined income during the past 12 months for all members of the householder's family. The questionnaire says that ""This includes money from jobs, net income from business, farm or rent, pensions, dividends, interest, social security payments and any other money income received"" by members of the householder's family who are 15 years of age or older. Available categories change over time.","{100: 'Under $5,000', 110: 'Under $1,000', 111: 'Under $500', 112: '$500 - 999', 120: '$1,000 - 1,999', 121: '$1,000 - 1,499', 122: '$1,500-1,999', 130: '$2,000 - 2,999', 131: '$2,000 - 2,499', 132: '$2,500 - 2,999', 140: '$3,000 - 3,999', 141: '$3,000 - 3,499', 142: '$3,500 - 3,999', 150: '$4,000 - 4,999', 200: '$5,000 - 7,999', 210: '$5,000 - 7,499', 220: '$5,000 - 5,999', 230: '$6,000 - 7,999', 231: '$6,000 - 7,499', 232: '$6,000 - 6,999', 233: '$7,000 - 7,499', 234: '$7,000 - 7,999', 300: '$7,500 - 9,999', 310: '$7,500 - 7,999', 320: '$8,000 - 8,499', 330: '$8,500 - 8,999', 340: '$8,000 - 8,999', 350: '$9,000 - 9,999', 400: '$10,000 - 14,999', 410: '$10,000 - 10,999', 420: '$11,000 - 11,999', 430: '$10,000 - 12,499', 440: '$10,000 - 11,999', 450: '$12,000 - 12,999', 460: '$12,000 - 14,999', 470: '$12,500 - 14,999', 480: '$13,000 - 13,999', 490: '$14,000 - 14,999', 500: '$15,000 - 19,999', 510: '$15,000 - 15,999', 520: '$16,000 - 16,999', 530: '$17,000 - 17,999', 540: '$15,000 - 17,499', 550: '$17,500 - 19,999', 560: '$18,000 - 19,999', 600: '$20,000 - 24,999', 700: '$25,000 - 49,999', 710: '$25,000 - 29,999', 720: '$30,000 - 34,999', 730: '$35,000 - 39,999', 740: '$40,000 - 49,999', 800: '$50,000 and over', 810: '$50,000 - 74,999', 820: '$50,000 - 59,999', 830: '$60,000 - 74,999', 840: '$75,000 and over', 841: '$75,000 - 99,999', 842: '$100,000 - 149,999', 843: '$150,000 and over', 995: 'Missing', 996: 'Refused', 997: ""Don't know"", 999: 'Blank'}",0
UNITSSTR,Units in structure,discrete,"UNITSSTR reports the number of housing units (both occupied and vacant) in the structure that contained the household.  The survey form included five possible responses: 1, 2, 3-4, 5-9, and 10+.  To increase consistency with the IPUMS-USA variable UNITSSTR, IPUMS-CPS also integrates other information into the UNITSSTR variable.  Housing units described as ""mobile home or trailer with no permanent room added"" and ""tent/trailer site"" elsewhere in the original data were coded as ""mobile home or trailer"" (code 01) and ""boat, tent, van, other"" (code 02) in the UNITSSTR variable.  These are one-unit structures.  All other one-unit structures are in code 11, ""One unit, unspecified type (CPS).""","{0: 'NIU', 1: 'Mobile home or trailer', 5: '2 family building', 6: '3-4 family building', 7: '5-9 family building', 11: 'One unit, unspecified type', 12: '10+ units in structure'}",1
PHONE,Telephone availability,discrete,"PHONE indicates whether household members had access to a telephone.  The interviewer first ascertained whether a telephone was inside the housing unit (code 3), and, if not, whether people in the household could be contacted via a telephone located elsewhere (code 2).","{0: 'NIU', 1: 'No, no phone available', 2: 'Yes, phone available', 3: 'Yes, phone in household', 9: 'Unknown'}",1
NFAMS,Number of families in household,discrete,"NFAMS is a constructed variable that counts the number of families within each unit. A ""family"" is any group of persons related by blood, adoption, or marriage. An unrelated individual is considered a separate family. Thus, a household consisting of a widow and her boarder contains two families; a household consisting of a large, multiple-generation extended family with no boarders, employees, or other non-relatives counts as a single family. 

Note that NFAMS is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus NFAMS may differ from the number of families according to the Census definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: '0 families (vacant unit)', 1: '1 family or N/A', 2: '2 families', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29', 30: '30'}",1
NCOUPLES,Number of married couples in household,discrete,NCOUPLES is a constructed variable (using SPLOC) that counts the number of married couples within each unit.  Units with no married couples present are coded 0.,"{0: '0 couples or NIU', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 9: '9'}",1
NMOTHERS,Number of mothers in household,discrete,NMOTHERS is a constructed variable (using MOMLOC) that counts the number of women within each unit who are identified as residing with their children. Units with no mothers present are coded 0.,"{0: '0 mothers or NIU', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6'}",0
NFATHERS,Number of fathers in household,discrete,NFATHERS is a constructed variable (using POPLOC) that counts the number of men within each unit who are identified as residing with their children. Units with no fathers present are coded 0.,"{0: '0 fathers or NIU', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6'}",0
PERNUM,Person number in sample unit,contin,"PERNUM numbers all persons within each household consecutively (starting with ""1"") in the order in which they are listed in the original CPS data.  When combined with YEAR , MONTH, and SERIAL, PERNUM uniquely identifies each person within IPUMS-CPS samples, though not across IPUMS-CPS samples.",{},0
